Date Time,MW,Mvar,EXC CURRENT,TEMP CG D/STR CLR,TEMP STR SLOT TE,TEMP STR SLOT TE,PRES AMBIENT AIR,MEDIAN GEN CURRENT,F STR WTR D/STR BSHG U1,GEN VOLTAGE L1-L2
9/23/2021 1:20:00 AM,581.9271,105.346,3503.689,44.10001,68.89999,68.89999,1003.95,16.15017,3.253191,21.00061
9/23/2021 1:21:00 AM,582.7604,100.675,3474.754,44.10001,68.89999,68.89999,1003.95,16.09635,3.253191,21.0196
9/23/2021 1:22:00 AM,579.2708,105.5728,3487.775,44.10001,68.89999,68.89999,1003.95,16.09549,3.253191,21.0196
9/23/2021 1:23:00 AM,583.3333,101.3099,3487.775,44.10001,68.89999,68.89999,1003.95,16.13108,3.253191,21.0196
9/23/2021 1:24:00 AM,584.4271,104.2123,3477.647,44.10001,68.89999,68.89999,1003.95,16.22049,3.253191,20.98253
9/23/2021 1:25:00 AM,584.375,98.0448,3470.414,44.10001,68.89999,68.89999,1003.95,16.1849,3.253191,20.98253
9/23/2021 1:26:00 AM,565.3125,90.24475,3391.204,44.10001,68.89999,68.89999,1003.95,15.66406,3.259098,20.98253
9/23/2021 1:27:00 AM,557.6041,99.49597,3373.119,44.10001,68.89999,68.89999,1003.95,15.49132,3.259098,20.98253
9/23/2021 1:28:00 AM,571.1979,104.3937,3452.329,44.10001,69,69,1003.863,15.90017,3.25295,20.98253
9/23/2021 1:29:00 AM,567.9688,103.9402,3438.947,44.10001,69,69,1003.863,15.74392,3.25295,20.98253
9/23/2021 1:30:00 AM,568.0208,105.0739,3447.627,44.10001,69,69,1003.863,15.81163,3.25295,20.98253
9/23/2021 1:31:00 AM,578.125,101.4913,3470.775,44.10001,69,69,1003.863,16.07813,3.256084,21.0187
9/23/2021 1:32:00 AM,582.8646,103.7588,3494.285,44.10001,69,69,1003.863,16.16754,3.256084,21.0187
9/23/2021 1:33:00 AM,578.125,108.2484,3495.732,44.10001,69,69,1003.863,16.09549,3.256084,21.0187
9/23/2021 1:34:00 AM,581.7708,105.7088,3495.732,44.10001,69,69,1003.863,16.15017,3.297075,21.0187
9/23/2021 1:35:00 AM,585,107.5228,3507.668,44.10001,68.89999,68.89999,1003.863,16.22049,3.253914,21.0187
9/23/2021 1:36:00 AM,583.8541,102.7611,3489.583,44.10001,68.89999,68.89999,1003.863,16.16754,3.262112,21.0187
9/23/2021 1:37:00 AM,583.5938,109.2914,3489.583,44.10001,68.89999,68.89999,1003.863,16.21962,3.248971,21.0187
9/23/2021 1:38:00 AM,587.8125,106.6158,3495.732,44.10001,68.89999,68.89999,1003.863,16.27778,3.258978,21.0187
9/23/2021 1:39:00 AM,585,100.3576,3469.329,44.10001,68.89999,68.89999,1003.863,16.20313,3.258978,21.0187
9/23/2021 1:40:00 AM,588.0729,101.6727,3497.902,44.10001,68.89999,68.89999,1003.819,16.25608,3.301053,21.0187
9/23/2021 1:41:00 AM,580.7291,101.6727,3472.222,44.10001,68.89999,68.89999,1003.819,16.13108,3.247042,21.00061
9/23/2021 1:42:00 AM,585.625,100.5844,3467.158,44.10001,69.10001,69.10001,1003.819,16.27431,3.239447,21.00061
9/23/2021 1:43:00 AM,587.0313,95.91339,3487.413,44.10001,69.10001,69.10001,1003.819,16.27431,3.25729,21.00061
9/23/2021 1:44:00 AM,576.6146,100.5844,3463.18,44.10001,69.10001,69.10001,1003.819,16.02517,3.24427,21.00061
9/23/2021 1:45:00 AM,584.1146,114.3251,3519.965,44.10001,69.10001,69.10001,1003.819,16.22135,3.251142,21.00061
9/23/2021 1:46:00 AM,585.1041,99.99481,3493.924,44.10001,69.10001,69.10001,1003.819,16.27344,3.251142,21.00061
9/23/2021 1:47:00 AM,582.9166,99.99481,3475.839,44.10001,69.10001,69.10001,1003.819,16.1849,3.252588,21.00061
9/23/2021 1:48:00 AM,575.4688,98.1355,3437.138,44.10001,69.10001,69.10001,1003.711,15.97309,3.252588,21.00061
9/23/2021 1:49:00 AM,580.1563,98.1355,3454.861,44.10001,69.10001,69.10001,1003.711,16.06163,3.251865,21.00061
9/23/2021 1:50:00 AM,570.3125,103.2146,3420.139,44.10001,69.10001,69.10001,1003.711,15.86458,3.25741,20.98072
9/23/2021 1:51:00 AM,579.7916,103.0786,3482.349,44.10001,69.20001,69.20001,1003.711,16.06424,3.265368,20.98072
9/23/2021 1:52:00 AM,583.75,97.18317,3469.329,44.10001,69.20001,69.20001,1003.711,16.22049,3.25307,20.98072
9/23/2021 1:53:00 AM,587.1875,96.50293,3465.35,44.10001,69.20001,69.20001,1003.711,16.23785,3.25307,20.98072
9/23/2021 1:54:00 AM,573.9583,94.37152,3439.67,44.10001,69.20001,69.20001,1003.624,15.93576,3.25307,20.98072
9/23/2021 1:55:00 AM,570.7291,98.54364,3413.628,44.10001,69.20001,69.20001,1003.624,15.82899,3.25307,20.98072
9/23/2021 1:56:00 AM,580.6771,94.50757,3437.138,44.10001,69.20001,69.20001,1003.624,16.0599,3.25307,20.98072
9/23/2021 1:57:00 AM,570.1041,85.75519,3382.885,44.10001,69.20001,69.20001,1003.624,15.79253,3.25307,20.98072
9/23/2021 1:58:00 AM,568.8021,85.75519,3366.609,44.10001,69.20001,69.20001,1003.624,15.73003,3.25307,20.94455
9/23/2021 1:59:00 AM,574.8958,95.00641,3414.352,44.10001,69.20001,69.20001,1003.624,15.9349,3.25307,20.94455
9/23/2021 2:00:00 AM,580.2083,90.56219,3435.33,44.10001,69.20001,69.20001,1003.624,16.07813,3.25307,20.94455
9/23/2021 2:01:00 AM,575,88.15869,3435.33,44.10001,69.20001,69.20001,1003.624,15.90017,3.244631,20.94455
9/23/2021 2:02:00 AM,578.1771,90.06335,3430.628,44,69.20001,69.20001,1003.624,16.02257,3.244631,20.94455
9/23/2021 2:03:00 AM,583.8541,94.50757,3430.628,44,69.10001,69.10001,1003.624,16.16754,3.25524,20.94455
9/23/2021 2:04:00 AM,574.7916,97.27386,3432.436,44,69.10001,69.10001,1003.624,15.91753,3.25524,20.94455
9/23/2021 2:05:00 AM,577.6041,97.27386,3445.457,44,69.10001,69.10001,1003.537,16.00694,3.25524,20.98072
9/23/2021 2:06:00 AM,588.2291,112.2391,3537.326,44,69.10001,69.10001,1003.537,16.30903,3.25524,20.98072
9/23/2021 2:07:00 AM,589.2708,109.0646,3518.157,44,69.10001,69.10001,1003.537,16.28559,3.25524,21.03769
9/23/2021 2:08:00 AM,585.625,96.63898,3485.243,44,69.10001,69.10001,1003.537,16.1849,3.25524,21.03769
9/23/2021 2:09:00 AM,582.9166,94.55292,3462.095,44,69.10001,69.10001,1003.537,16.1849,3.25524,20.96264
9/23/2021 2:10:00 AM,578.75,97.63666,3452.329,44,69.10001,69.10001,1003.537,16.04167,3.25524,20.96264
9/23/2021 2:11:00 AM,583.3333,91.87732,3452.329,43.90001,69.10001,69.10001,1003.537,16.16754,3.25524,20.96264
9/23/2021 2:12:00 AM,589.7916,91.28778,3465.712,43.90001,69.10001,69.10001,1003.537,16.30382,3.25524,20.96264
9/23/2021 2:13:00 AM,587.7083,86.66217,3440.755,43.90001,69.10001,69.10001,1003.537,16.30382,3.25524,20.96264
9/23/2021 2:14:00 AM,584.6354,98.72504,3463.903,43.90001,69.10001,69.10001,1003.537,16.30382,3.25524,20.96264
9/23/2021 2:15:00 AM,583.2813,80.99353,3434.606,43.90001,69.10001,69.10001,1003.537,16.04254,3.25524,20.96264
