 ,10MKD12CY021XQ01,10MKD12CY022XQ01,10MKD11CY021XQ01,10MKD11CY022XQ01,10MKC01DE502XQ01,10MKC01EU001ZQ01,10MKD12CY901XQ01,10MKD11CY901XQ01,10MBY10CE901XQ01
,VIB GEN BRG CSG EE,VIB GEN BRG CSG EE,VIB GEN BRG CSG TE,VIB GEN BRG CSG TE,REACTIVE POWER,EXC CURRENT,REL S-VIB GEN BRG EE,REL S-VIB GEN BRG TE,ACTIVE POWER
Date Time,mm/s,mm/s,mm/s,mm/s,Mvar,A,µm pk-pk,µm pk-pk,MW
9/5/2021 2:36:00 AM,1.653646,1.681858,0.8304398,0.8550347,-21.04199,3278.718,38.17636,24.79384,624.1666
9/5/2021 2:37:00 AM,1.653646,1.681858,0.823206,0.865162,-10.1582,3296.802,38.42954,24.79384,622.6041
9/5/2021 2:38:00 AM,1.653646,1.685475,0.8658854,0.8969907,-39.45374,3208.188,36.82002,24.79384,617.9688
9/5/2021 2:39:00 AM,1.653646,1.685475,0.8535879,0.8825231,-59.13525,3134.404,36.82002,25.28212,613.5938
9/5/2021 2:40:00 AM,1.653646,1.680411,0.8246527,0.8825231,-52.78638,3099.682,36.82002,24.10663,602.8646
9/5/2021 2:41:00 AM,1.653646,1.680411,0.8376736,0.8825231,-50.56427,3128.617,36.82002,25.33637,603.3854
9/5/2021 2:42:00 AM,1.647859,1.680411,0.8376736,0.8608217,-38.54675,3160.446,37.52532,25.33637,608.3333
9/5/2021 2:43:00 AM,1.653646,1.680411,0.8376736,0.880353,-19.31873,3226.996,36.83811,24.61299,610.4166
9/5/2021 2:44:00 AM,1.668837,1.708623,0.8695023,0.8969907,-22.71991,3263.527,36.83811,24.61299,616.25
9/5/2021 2:45:00 AM,1.668837,1.685475,0.901331,0.9042245,-34.78278,3212.529,36.85619,26.54803,616.4063
9/5/2021 2:46:00 AM,1.66956,1.702112,0.8991609,0.9121817,-29.93042,3244.358,36.85619,24.2513,620.7291
9/5/2021 2:47:00 AM,1.66956,1.702112,0.8789063,0.8969907,-14.82916,3277.271,38.1221,24.9566,622.7083
9/5/2021 2:48:00 AM,1.66956,1.707899,0.8731192,0.9121817,-5.124451,3314.887,36.47642,24.9566,624.8438
9/5/2021 2:49:00 AM,1.66956,1.702112,0.8731192,0.9121817,-4.489563,3314.887,37.66999,24.97468,623.3333
9/5/2021 2:50:00 AM,1.66956,1.692708,0.8738425,0.9027777,-5.623291,3314.887,37.3083,24.97468,623.3854
9/5/2021 2:51:00 AM,1.66956,1.709346,0.8738425,0.9172453,-16.37103,3295.718,37.3083,24.97468,623.8021
9/5/2021 2:52:00 AM,1.67173,1.696325,0.8586516,0.9092882,-10.83844,3295.718,37.3083,24.79384,623.8021
9/5/2021 2:53:00 AM,1.668113,1.696325,0.8376736,0.8897569,-11.70007,3316.696,35.77112,24.79384,621.0938
9/5/2021 2:54:00 AM,1.668113,1.684028,0.8948206,0.8897569,-40.27002,3224.826,37.09129,24.45023,621.6666
9/5/2021 2:55:00 AM,1.668113,1.687645,0.8731192,0.9092882,-43.08167,3217.954,37.09129,23.72685,620.5729
9/5/2021 2:56:00 AM,1.663773,1.694878,0.8731192,0.9186921,-39.99792,3230.975,37.09129,24.08854,625
9/5/2021 2:57:00 AM,1.663773,1.694878,0.8731192,0.9497975,-35.32697,3247.251,37.09129,26.5842,623.2813
9/5/2021 2:58:00 AM,1.663773,1.684028,0.8868634,0.8868634,-36.86884,3247.251,37.09129,24.61299,624.3229
9/5/2021 2:59:00 AM,1.663773,1.71224,0.8868634,0.9367766,-33.55835,3214.699,37.09129,24.43215,613.6979
9/5/2021 3:00:00 AM,1.676071,1.694878,0.8586516,0.8969907,-38.5014,3179.253,36.07856,25.49913,606.5625
9/5/2021 3:01:00 AM,1.653646,1.694878,0.8586516,0.8969907,-10.20355,3241.464,36.85619,24.45023,606.6666
9/5/2021 3:02:00 AM,1.668837,1.709346,0.8586516,0.8969907,1.179077,3267.867,36.85619,25.35446,608.3333
9/5/2021 3:03:00 AM,1.668837,1.703559,0.8731192,0.9121817,-13.19659,3241.464,37.88701,25.35446,610.9896
9/5/2021 3:04:00 AM,1.668837,1.703559,0.8521412,0.8897569,-8.026794,3278.718,37.88701,24.79384,615.625
9/5/2021 3:05:00 AM,1.675347,1.703559,0.8723958,0.9114583,10.11285,3347.439,37.5434,24.79384,620.0521
9/5/2021 3:06:00 AM,1.675347,1.708623,0.8723958,0.9114583,17.32336,3378.544,37.5434,24.79384,622.2916
9/5/2021 3:07:00 AM,1.675347,1.708623,0.8723958,0.9114583,8.661682,3353.226,35.98814,24.79384,623.9583
9/5/2021 3:08:00 AM,1.675347,1.702112,0.8731192,0.8550347,25.89435,3407.841,36.11473,26.22251,623.8021
9/5/2021 3:09:00 AM,1.675347,1.715856,0.8731192,0.9042245,28.6153,3407.841,38.08594,24.35981,623.8541
9/5/2021 3:10:00 AM,1.682581,1.715856,0.823206,0.9042245,24.12573,3407.841,35.93388,25.49913,624.375
9/5/2021 3:11:00 AM,1.675347,1.707899,0.8550347,0.8969907,37.23163,3435.33,37.18171,24.83001,623.8021
9/5/2021 3:12:00 AM,1.675347,1.707899,0.8550347,0.8969907,37.86652,3435.33,35.57219,24.83001,625
9/5/2021 3:13:00 AM,1.675347,1.689091,0.8738425,0.8977141,21.13269,3385.778,35.64453,24.83001,624.8438
9/5/2021 3:14:00 AM,1.689815,1.708623,0.8680555,0.9042245,18.91058,3356.481,36.11473,24.83001,616.4583
9/5/2021 3:15:00 AM,1.682581,1.708623,0.8680555,0.8615451,14.23962,3330.078,38.06785,24.83001,611.5104
9/5/2021 3:16:00 AM,1.682581,1.694878,0.8680555,0.9042245,19.31873,3330.078,37.52532,24.83001,614.6875
9/5/2021 3:17:00 AM,1.654369,1.709346,0.8586516,0.8977141,12.19891,3332.248,35.93388,24.83001,619.9479
9/5/2021 3:18:00 AM,1.66739,1.708623,0.8514178,0.8912037,15.6001,3347.801,38.2487,24.83001,622.2396
9/5/2021 3:19:00 AM,1.671007,1.701389,0.865162,0.9121817,7.029114,3321.397,37.00087,24.83001,617.0313
