 ,10MKC01DE502XQ01,10MBY10CE901XQ01,10MKG18FP001ZQ01,10MKW31CP901XQ01,10MKW31CP902XQ01,10MKW31CP903XQ01,10MKG31CQ001AZQ01,10MKG32CQ001AZQ01
,REACTIVE POWER,ACTIVE POWER,PRES H2 GEN CASING,DIFFPRES SEAL OIL/H2,DIFFPRES SEAL OIL/H2,DIFFPRES SEAL OIL/H2,PURITY H2 ANALYZER 1,PURITY H2 ANALYZER 2
Date Time,Mvar,MW,bar,bar,bar,bar,% H2,% H2
9/5/2021 1:48:00 AM,-37.27698,623.2813,4.039001,1.168227,1.167141,1.171482,96.36791,96.2377
9/5/2021 1:49:00 AM,-29.25018,623.2813,4.039001,1.165333,1.167141,1.171482,96.36791,96.2377
9/5/2021 1:50:00 AM,-36.59674,623.2813,4.037434,1.17112,1.168227,1.177992,96.36791,96.2377
9/5/2021 1:51:00 AM,-39.95258,617.3958,4.037434,1.161716,1.167503,1.166418,96.36791,96.2377
9/5/2021 1:52:00 AM,-33.24091,624.3229,4.037434,1.16895,1.166418,1.172566,96.36791,96.2377
9/5/2021 1:53:00 AM,-25.16876,620.7813,4.037434,1.167141,1.167503,1.167865,96.36791,96.2377
9/5/2021 1:54:00 AM,-49.65729,623.2291,4.037434,1.169673,1.170758,1.1798,96.36791,96.2377
9/5/2021 1:55:00 AM,-56.55035,612.0833,4.037434,1.163163,1.163525,1.171843,96.36791,96.2377
9/5/2021 1:56:00 AM,-39.27234,612.0833,4.037434,1.177992,1.17112,1.177269,96.36791,96.2377
9/5/2021 1:57:00 AM,-43.7619,615.1041,4.037434,1.174375,1.17112,1.17329,96.36791,96.2377
9/5/2021 1:58:00 AM,-29.02344,617.8646,4.037434,1.17112,1.167141,1.16895,96.36791,96.2377
9/5/2021 1:59:00 AM,-33.64905,620.625,4.037434,1.17112,1.173652,1.174375,96.36791,96.2377
9/5/2021 2:00:00 AM,-38.5014,621.6666,4.037434,1.176183,1.173652,1.178354,96.36791,96.2377
9/5/2021 2:01:00 AM,-46.66425,622.8125,4.037434,1.170758,1.173652,1.178354,96.36791,96.2377
